Code,Description
1023303,"Anjouan, Comoros: Ouani"
1023401,"Arvidsjaur, Sweden: Arvidsjaur Airport"
1023402,"Arvidsjaur, Sweden: Arvidsjaur Airport"
1023501,"Aracaju, Brazil: Santa Maria"
1023601,"Agades, Niger: Manu Dayak"
1023602,"Agades, Niger: Manu Dayak"
1023603,"Agades, Niger: Manu Dayak"
1023604,"Agades, Niger: Mano Dayak"
1023701,"Atka, AK: Atka Airport"
1023702,"Atka, AK: Atka Airport"
1023801,"Akron, OH: Akron Fulton International"
1023901,"Kufrah, Libya: Kufra"
1023902,"Kufrah, Libya: Kufra"
1023903,"Kufrah, Libya: Kufra"
1024101,"Akiak, AK: Akiak Airport"
1024102,"Akiak, AK: Akiak Airport"
1024201,"Asahikawa, Japan: Asahikawa Airport"
1024202,"Asahikawa, Japan: Asahikawa Airport"
1024203,"Asahikawa, Japan: Asahikawa Airport"
1024301,"Akhiok, AK: Akhiok Airport"
1024302,"Akhiok, AK: Akhiok Airport"
1024401,"Auckland, New Zealand: Auckland International"
1024402,"Auckland, New Zealand: Auckland International"
1024501,"King Salmon, AK: King Salmon Airport"
1024502,"King Salmon, AK: King Salmon Airport"
1024601,"Akron, CO: Akron Washington County"
1024602,"Akron, CO: Colorado Plains Regional"
1024701,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport"
1024702,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport"
1024801,"Akure, Nigeria: Akure Airport"
1024802,"Akure, Nigeria: Akure Airport"
1024901,"Auki, Solomon Islands: Auki Airport"
1024902,"Auki, Solomon Islands: Auki Airport"
1024903,"Auki, Solomon Islands: Auki Gwaunaru University"
1024904,"Auki, Solomon Islands: Auki Airport"
1025001,"Akrotiri, Cyprus: Akrotiri Airport"
1025002,"Akrotiri, Cyprus: Akrotiri Airport"
1025101,"Aktyubinsk, U.S.S.R.: Aktyubinsk Airport"
1025102,"Aktyubinsk, Kazakhstan: Aktyubinsk Airport"
1025201,"Akyab, Burma: Akyab Airport"
1025202,"Sittwe, Burma: Sittwe Airport"
1025203,"Sittwe, Burma: Sittwe Airport"
1025301,"Albertville, AL: Albertville Regional-Thomas J Brumlik Field"
1025401,"Alabaster, AL: Shelby County"
1025402,"Alabaster, AL: Shelby County"
1025501,"Huntsville, AL: Madison County Executive/Tom Sharp Jr. Field"
1025502,"Huntsville, AL: Madison County Executive/Tom Sharp Jr. Field"
1025503,"Huntsville, AL: Huntsville Executive Airport Tom Sharp Jr"
1025601,"Alma-Ata, U.S.S.R.: Alma-Ata Airport"
1025602,"Almaty, Kazakhstan: Almaty Airport"
1025603,"Almaty, Kazakhstan: Almaty Airport"
1025701,"Albany, NY: Albany International"
1025702,"Albany, NY: Albany International"
1025801,"Alicante, Spain: Alicante Airport"
1025802,"Alicante, Spain: Alicante Airport"
1025803,"Alicante, Spain: Alicante Airport"
